AcademicYear,CourseName,Seats
2022/2023,INDUSTRIAL INFORMATION TECHNOLOGY,562
2022/2023,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,562
2022/2023,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),562
2022/2023,INFORMATION COMMUNICATION TECHNOLOGY,562
2022/2023,INFORMATION SYSTEMS,562
2022/2023,INFORMATION TECHNOLOGY & MANAGEMENT,562
2022/2023,INFORMATION TECHNOLOGY (IT),562
2022/2023,ISLAMIC STUDIES,562
2022/2023,LANDSCAPE ARCHITECTURE,562
2022/2023,LAW,562
2022/2023,MANAGEMENT,562
2022/2023,MANAGEMENT (PUBLIC) HONOURS,562
2022/2023,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),562
2022/2023,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),562
2022/2023,MANAGEMENT STUDIES (TV) - A [Commerce Stream],562
2022/2023,MANAGEMENT STUDIES (TV) - B [Any subject combination],562
2022/2023,MARINE AND FRESHWATER SCIENCES,562
2022/2023,MEDICAL IMAGING TECHNOLOGY,562
2022/2023,MEDICAL LABORATORY SCIENCES,562
2022/2023,MEDICINE,562
2022/2023,MINERAL RESOURCES AND TECHNOLOGY,562
2022/2023,MUSIC,562
2022/2023,NURSING,562
2022/2023,OCCUPATIONAL THERAPY,562
2022/2023,OPTOMETRY,562
2022/2023,PEACE & CONFLICT RESOLUTION,562
2022/2023,PHARMACY,562
2022/2023,PHYSICAL EDUCATION,562
2022/2023,PHYSICAL SCIENCE,562
2022/2023,PHYSICAL SCIENCE -ICT,562
2022/2023,PHYSIOTHERAPY,562
2022/2023,PLANTATION MANAGEMENT AND TECHNOLOGY,562
2022/2023,PRIMARY EDUCATION,562
2022/2023,PROJECT MANAGEMENT,562
2022/2023,QUANTITY SURVEYING,562
2022/2023,RADIOGRAPHY,562
2022/2023,REAL ESTATE MANAGEMENT & VALUATION,562
2022/2023,SCIENCE AND TECHNOLOGY,562
2022/2023,SIDDHA MEDICINE & SURGERY,562
2022/2023,SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE,562
2022/2023,SOCIAL WORK,562
2022/2023,SOFTWARE ENGINEERING,562
2022/2023,SPEECH AND HEARING SCIENCES,562
2022/2023,SPORTS SCIENCE & MANAGEMENT,562
2022/2023,STATISTICS & OPERATIONS RESEARCH,562
2022/2023,SURVEYING SCIENCE,562
2022/2023,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL),562
2022/2023,TOURISM & HOSPITALITY MANAGEMENT,562
2022/2023,TOWN & COUNTRY PLANNING,562
2022/2023,TRANSLATION STUDIES,562
2022/2023,TRANSPORT MANAGEMENT & LOGISTICS ENGINEERING (TMLE),562
2022/2023,UNANI MEDICINE & SURGERY,562
2022/2023,URBAN BIORESOURCES,562
2022/2023,VETERINARY SCIENCE,562
2022/2023,VISUAL & TECHNOLOGICAL ARTS,562
2022/2023,VISUAL ARTS,562
2022/2023,YOGA AND PARAPSYCHOLOGY,562
2023/2024,ACCOUNTING INFORMATION SYSTEMS,579
2023/2024,AGRI BUSINESS MANAGEMENT,579
2023/2024,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,579
2023/2024,AGRICULTURAL TECHNOLOGY & MANAGEMENT,579
2023/2024,AGRICULTURE,579
2023/2024,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,579
2023/2024,ANIMAL SCIENCE & FISHERIES,579
2023/2024,APPLIED CHEMISTRY,579
2023/2024,APPLIED SCIENCES (BIO.SC),579
2023/2024,APPLIED SCIENCES (PHY.SC),579
2023/2024,AQUATIC BIORESOURCES,579
2023/2024,AQUATIC RESOURCES TECHNOLOGY,579
2023/2024,ARABIC LANGUAGE,579
2023/2024,ARCHITECTURE,579
2023/2024,ART & DESIGN,579
2023/2024,ARTIFICIAL INTELLIGENCE,579
2023/2024,ARTS,579
2023/2024,ARTS (SAB) - A [Arts Stream],579
2023/2024,ARTS (SAB) - B [Commerce Stream],579
2023/2024,ARTS (SP) / MASS MEDIA,579
2023/2024,ARTS (SP) / PERFORMING ARTS,579
2023/2024,ARTS-INFORMATION TECHNOLOGY,579
2023/2024,AYURVEDIC MEDICINE & SURGERY,579
2023/2024,BANKING & INSURANCE,579
2023/2024,BIOCHEMISTRY & MOLECULAR BIOLOGY,579
2023/2024,BIOLOGICAL SCIENCE,579
2023/2024,BIOSYSTEMS TECHNOLOGY (BST),579
2023/2024,BUSINESS SCIENCE,579
2023/2024,COMMERCE,579
2023/2024,COMMUNICATION STUDIES,579
2023/2024,COMPUTER SCIENCE,579
2023/2024,COMPUTER SCIENCE & TECHNOLOGY,579
2023/2024,CREATIVE MUSIC TECHNOLOGY & PRODUCTION,579
2023/2024,DANCE,579
2023/2024,DATA SCIENCE,579
2023/2024,DENTAL SURGERY,579
2023/2024,DESIGN,579
2023/2024,DRAMA & THEATRE,579
2023/2024,ELECTRONICS AND COMPUTER SCIENCE,579
2023/2024,ENGINEERING,579
2023/2024,ENGINEERING (EM),579
2023/2024,ENGINEERING (TM),579
2023/2024,ENGINEERING TECHNOLOGY (ET),579
2023/2024,ENGLISH LANGUAGE & APPLIED LINGUISTICS,579
2023/2024,ENTREPRENEURSHIP AND MANAGEMENT,579
2023/2024,ENVIRONMENTAL CONSERVATION & MANAGEMENT,579
2023/2024,EXPORT AGRICULTURE,579
2023/2024,FACILITIES MANAGEMENT,579
2023/2024,FASHION DESIGN & PRODUCT DEVELOPMENT,579
2023/2024,FILM & TELEVISION STUDIES,579
2023/2024,FINANCIAL ECONOMICS,579
2023/2024,FINANCIAL ENGINEERING,579
2023/2024,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,579
2023/2024,FISHERIES & MARINE SCIENCES,579
2023/2024,FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream],579
2023/2024,FOOD BUSINESS MANAGEMENT [Commerce Stream],579
2023/2024,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,579
2023/2024,FOOD SCIENCE & NUTRITION,579
2023/2024,FOOD SCIENCE & TECHNOLOGY,579
2023/2024,GEOGRAPHICAL INFORMATION SCIENCE,579
2023/2024,GREEN TECHNOLOGY,579
2023/2024,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",579
2023/2024,HUMAN RESOURCE DEVELOPMENT,579
2023/2024,INDIGENOUS MEDICINAL RESOURCES,579
2023/2024,INDUSTRIAL INFORMATION TECHNOLOGY,579
2023/2024,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,579
2023/2024,INFORMATION COMMUNICATION TECHNOLOGY,579
2023/2024,INFORMATION SYSTEMS,579
2023/2024,INFORMATION TECHNOLOGY & MANAGEMENT,579
2023/2024,INFORMATION TECHNOLOGY (IT),579
2023/2024,ISLAMIC STUDIES,579
2023/2024,LANDSCAPE ARCHITECTURE,579
2023/2024,LAW,579
2023/2024,MANAGEMENT,579
2023/2024,MANAGEMENT (PUBLIC) HONOURS,579
2023/2024,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (BIO SCIENCE STREAM),579
2023/2024,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (OTHER STREAM),579
2023/2024,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),579
2023/2024,MANAGEMENT STUDIES (TV) - A [Commerce Stream],579
2023/2024,MANAGEMENT STUDIES (TV) - B [Any subject combination],579
2023/2024,MARINE AND FRESHWATER SCIENCES,579
2023/2024,MEDICAL IMAGING TECHNOLOGY,579
2023/2024,MEDICAL LABORATORY SCIENCES,579
2023/2024,MEDICINE,579
2023/2024,MINERAL RESOURCES AND TECHNOLOGY,579
2023/2024,MUSIC,579
2023/2024,"Medicine, Sri Lanka) BIOMEDICAL TECHNOLOGY",579
2023/2024,"Medicine, Sri Lanka) HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY",579
2023/2024,"Medicine, Sri Lanka) HEALTH PROMOTION",579
2023/2024,"Medicine, Sri Lanka) HEALTH TOURISM AND HOSPITALITY MANAGEMENT",579
2023/2024,"Medicine, Sri Lanka) INDIGENOUS PHARMACEUTICAL TECHNOLOGY",579
2023/2024,"Medicine, Sri Lanka) SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE",579
2023/2024,"Medicine, Sri Lanka) UNANI MEDICINE & SURGERY",579
2023/2024,"Medicine, Sri Lanka) YOGA AND PARAPSYCHOLOGY",579
2023/2024,NURSING,579
2023/2024,OCCUPATIONAL THERAPY,579
2023/2024,OPTOMETRY,579
2023/2024,PEACE & CONFLICT RESOLUTION,579
2023/2024,PHARMACY,579
2023/2024,PHYSICAL EDUCATION,579
2023/2024,PHYSICAL SCIENCE,579
2023/2024,PHYSICAL SCIENCE -ICT,579
2023/2024,PHYSIOTHERAPY,579
2023/2024,PLANTATION MANAGEMENT AND TECHNOLOGY,579
2023/2024,POLYMER SCIENCE AND INDUSTRIAL MANAGEMENT,579
2023/2024,PRIMARY EDUCATION,579
2023/2024,PROJECT MANAGEMENT,579
2023/2024,QUANTITY SURVEYING,579
2023/2024,RADIOGRAPHY,579
2023/2024,REAL ESTATE MANAGEMENT & VALUATION,579
2023/2024,SCIENCE AND TECHNOLOGY,579
2023/2024,SIDDHA MEDICINE & SURGERY,579
2023/2024,SOCIAL WORK,579
2023/2024,SOFTWARE ENGINEERING,579
2023/2024,SPEECH AND HEARING SCIENCES,579
2023/2024,SPORTS SCIENCE & MANAGEMENT,579
2023/2024,STATISTICS & OPERATIONS RESEARCH,579
2023/2024,SURVEYING SCIENCE,579
2023/2024,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL),579
2023/2024,TOURISM & HOSPITALITY MANAGEMENT,579
2023/2024,TOWN & COUNTRY PLANNING,579
2023/2024,TRANSLATION STUDIES,579
2023/2024,URBAN BIORESOURCES,579
2023/2024,VETERINARY SCIENCE,579
2023/2024,VISUAL & TECHNOLOGICAL ARTS,579
2023/2024,VISUAL ARTS,579
2024/2025,ACCOUNTING INFORMATION SYSTEMS,597
2024/2025,AGRI BUSINESS MANAGEMENT,597
2024/2025,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,597
2024/2025,AGRICULTURAL TECHNOLOGY & MANAGEMENT,597
2024/2025,AGRICULTURE,597
2024/2025,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,597
2024/2025,ANIMAL SCIENCE & FISHERIES,597
2024/2025,APPLIED CHEMISTRY,597
2024/2025,APPLIED SCIENCES (BIO.SC),597
2024/2025,APPLIED SCIENCES (PHY.SC),597
2024/2025,AQUATIC BIORESOURCES,597
2024/2025,AQUATIC RESOURCES TECHNOLOGY,597
2024/2025,ARABIC LANGUAGE,597
2024/2025,ARCHITECTURE,597
2024/2025,ART & DESIGN,597
2024/2025,ARTIFICIAL INTELLIGENCE,597
2024/2025,ARTS,597
2024/2025,ARTS (SAB) - A [Arts Stream],597
2024/2025,ARTS (SAB) - B [Commerce Stream],597
2024/2025,ARTS (SP) / MASS MEDIA,597
2024/2025,ARTS (SP) / PERFORMING ARTS,597
2024/2025,ARTS-INFORMATION TECHNOLOGY,597
2024/2025,AYURVEDA MEDICINE & SURGERY,597
2024/2025,BANKING & INSURANCE,597
2024/2025,BIOCHEMISTRY & MOLECULAR BIOLOGY,597
2024/2025,BIOLOGICAL SCIENCE,597
2024/2025,BIOSYSTEMS TECHNOLOGY (BST),597
2024/2025,BUSINESS SCIENCE,597
2024/2025,COMMERCE,597
2024/2025,COMMUNICATION STUDIES,597
2024/2025,COMPUTER SCIENCE,597
2024/2025,COMPUTER SCIENCE & TECHNOLOGY,597
2024/2025,CREATIVE MUSIC TECHNOLOGY & PRODUCTION,597
2024/2025,DANCE,597
2024/2025,DATA SCIENCE,597
2024/2025,DENTAL SURGERY,597
2024/2025,DESIGN,597
2024/2025,DRAMA & THEATRE,597
2024/2025,ELECTRONICS AND COMPUTER SCIENCE,597
2024/2025,ENGINEERING,597
2024/2025,ENGINEERING (EM),597
2024/2025,ENGINEERING (TM),597
2024/2025,ENGINEERING TECHNOLOGY (ET),597
2024/2025,ENGLISH LANGUAGE & APPLIED LINGUISTICS,597
2024/2025,ENTREPRENEURSHIP AND MANAGEMENT,597
2024/2025,ENVIRONMENTAL CONSERVATION & MANAGEMENT,597
2024/2025,EXPORT AGRICULTURE,597
2024/2025,FACILITIES MANAGEMENT,597
2024/2025,FASHION DESIGN & PRODUCT DEVELOPMENT,597
2024/2025,FILM & TELEVISION STUDIES,597
2024/2025,FINANCIAL ECONOMICS,597
2024/2025,FINANCIAL ENGINEERING,597
2024/2025,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,597
2024/2025,FISHERIES & MARINE SCIENCES,597
2024/2025,FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream],597
2024/2025,FOOD BUSINESS MANAGEMENT [Commerce Stream],597
2024/2025,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,597
2024/2025,FOOD SCIENCE & NUTRITION,597
2024/2025,FOOD SCIENCE & TECHNOLOGY,597
2024/2025,GEOGRAPHICAL INFORMATION SCIENCE,597
2024/2025,GREEN TECHNOLOGY,597
2024/2025,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",597
2024/2025,HUMAN RESOURCE DEVELOPMENT,597
2024/2025,INDIGENOUS MEDICINAL RESOURCES,597
2024/2025,INDUSTRIAL INFORMATION TECHNOLOGY,597
2024/2025,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,597
2024/2025,INFORMATION COMMUNICATION TECHNOLOGY,597
2024/2025,INFORMATION SYSTEMS,597
2024/2025,INFORMATION TECHNOLOGY & MANAGEMENT,597
2024/2025,INFORMATION TECHNOLOGY (IT),597
2024/2025,ISLAMIC STUDIES,597
2024/2025,LANDSCAPE ARCHITECTURE,597
2024/2025,LAW,597
2024/2025,MANAGEMENT,597
2024/2025,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (BIO SCIENCE STREAM),597
2024/2025,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (OTHER STREAM),597
2024/2025,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),597
2024/2025,MANAGEMENT AND PUBLIC POLICY,597
2024/2025,MANAGEMENT STUDIES (TV) - A [Commerce Stream],597
2024/2025,MANAGEMENT STUDIES (TV) - B [Any subject combination],597
2024/2025,MARINE AND FRESHWATER SCIENCES,597
2024/2025,MEDICAL IMAGING TECHNOLOGY,597
2024/2025,MEDICAL LABORATORY SCIENCES,597
2024/2025,MEDICINE,597
2024/2025,MINERAL RESOURCES AND TECHNOLOGY,597
2024/2025,MUSIC,597
2024/2025,NURSING,597
2024/2025,OCCUPATIONAL THERAPY,597
2024/2025,OPTOMETRY,597
2024/2025,PEACE & CONFLICT RESOLUTION,597
2024/2025,PHARMACY,597
2024/2025,PHYSICAL EDUCATION,597
2024/2025,PHYSICAL SCIENCE,597
2024/2025,PHYSICAL SCIENCE -ICT,597
2024/2025,PHYSIOTHERAPY,597
2024/2025,PLANTATION MANAGEMENT AND TECHNOLOGY,597
2024/2025,POLYMER SCIENCE AND INDUSTRIAL MANAGEMENT,597
2024/2025,PRIMARY EDUCATION,597
2024/2025,PROJECT MANAGEMENT,597
2024/2025,QUANTITY SURVEYING,597
2024/2025,RADIOGRAPHY,597
2024/2025,REAL ESTATE MANAGEMENT & VALUATION,597
2024/2025,SCIENCE AND TECHNOLOGY,597
2024/2025,SERVICE MANAGEMENT,597
2024/2025,SIDDHA MEDICINE & SURGERY,597
2024/2025,SOCIAL WORK,597
2024/2025,SOFTWARE ENGINEERING,597
2024/2025,SPEECH AND HEARING SCIENCES,597
2024/2025,SPORTS SCIENCE & MANAGEMENT,597
2024/2025,STATISTICS & OPERATIONS RESEARCH,597
2024/2025,SURVEYING SCIENCE,597
2024/2025,Sri Lanka) BIOMEDICAL TECHNOLOGY,597
2024/2025,Sri Lanka) HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY,597
2024/2025,Sri Lanka) HEALTH PROMOTION,597
2024/2025,Sri Lanka) HEALTH TOURISM AND HOSPITALITY MANAGEMENT,597
2024/2025,Sri Lanka) INDIGENOUS PHARMACEUTICAL TECHNOLOGY,597
2024/2025,Sri Lanka) LAW,597
2024/2025,Sri Lanka) SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE,597
2024/2025,Sri Lanka) UNANI MEDICINE & SURGERY,597
2024/2025,Sri Lanka) YOGA AND PARAPSYCHOLOGY,597
2024/2025,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL),597
2024/2025,TOURISM & HOSPITALITY MANAGEMENT,597
2024/2025,TRANSLATION STUDIES,597
2024/2025,URBAN BIORESOURCES,597
2024/2025,URBAN INFORMATICS AND PLANNING,597
2024/2025,VETERINARY SCIENCE,597
2024/2025,VISUAL & TECHNOLOGICAL ARTS,597
2024/2025,VISUAL ARTS,597
2025/2026,ACCOUNTING INFORMATION SYSTEMS,614
2025/2026,AGRI BUSINESS MANAGEMENT,614
2025/2026,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,614
2025/2026,AGRICULTURAL TECHNOLOGY & MANAGEMENT,614
2025/2026,AGRICULTURE,614
2025/2026,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,614
2025/2026,ANIMAL SCIENCE & FISHERIES,614
2025/2026,APPLIED CHEMISTRY,614
2025/2026,APPLIED SCIENCES (BIO.SC),614
2025/2026,APPLIED SCIENCES (PHY.SC),614
2025/2026,AQUATIC BIORESOURCES,614
2025/2026,AQUATIC RESOURCES TECHNOLOGY,614
2025/2026,ARABIC LANGUAGE,614
2025/2026,ARCHITECTURE,614
2025/2026,ART & DESIGN,614
2025/2026,ARTIFICIAL INTELLIGENCE,614
2025/2026,ARTS,614
2025/2026,ARTS (SAB) - A [Arts Stream],614
2025/2026,ARTS (SAB) - B [Commerce Stream],614
2025/2026,ARTS (SP) / MASS MEDIA,614
2025/2026,ARTS (SP) / PERFORMING ARTS,614
2025/2026,ARTS-INFORMATION TECHNOLOGY,614
2025/2026,AYURVEDA MEDICINE & SURGERY,614
2025/2026,BANKING & INSURANCE,614
2025/2026,BIOCHEMISTRY & MOLECULAR BIOLOGY,614
2025/2026,BIOLOGICAL SCIENCE,614
2025/2026,BIOSYSTEMS TECHNOLOGY (BST),614
2025/2026,BUSINESS SCIENCE,614
2025/2026,COMMERCE,614
2025/2026,COMMUNICATION STUDIES,614
2025/2026,COMPUTER SCIENCE,614
2025/2026,COMPUTER SCIENCE & TECHNOLOGY,614
2025/2026,CREATIVE MUSIC TECHNOLOGY & PRODUCTION,614
2025/2026,DANCE,614
2025/2026,DATA SCIENCE,614
2025/2026,DENTAL SURGERY,614
2025/2026,DESIGN,614
2025/2026,DRAMA & THEATRE,614
2025/2026,ELECTRONICS AND COMPUTER SCIENCE,614
2025/2026,ENGINEERING,614
2025/2026,ENGINEERING (EM),614
2025/2026,ENGINEERING (TM),614
2025/2026,ENGINEERING TECHNOLOGY (ET),614
2025/2026,ENGLISH LANGUAGE & APPLIED LINGUISTICS,614
2025/2026,ENTREPRENEURSHIP AND MANAGEMENT,614
2025/2026,ENVIRONMENTAL CONSERVATION & MANAGEMENT,614
2025/2026,EXPORT AGRICULTURE,614
2025/2026,Electronic and Intelligent Systems Engineering,614
2025/2026,FACILITIES MANAGEMENT,614
2025/2026,FASHION DESIGN & PRODUCT DEVELOPMENT,614
2025/2026,FILM & TELEVISION STUDIES,614
2025/2026,FINANCIAL ECONOMICS,614
2025/2026,FINANCIAL ENGINEERING,614
2025/2026,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,614
2025/2026,FISHERIES & MARINE SCIENCES,614
2025/2026,FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream],614
2025/2026,FOOD BUSINESS MANAGEMENT [Commerce Stream],614
2025/2026,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,614
2025/2026,FOOD SCIENCE & NUTRITION,614
2025/2026,FOOD SCIENCE & TECHNOLOGY,614
2025/2026,GEOGRAPHICAL INFORMATION SCIENCE,614
2025/2026,GEOGRAPHICAL INFORMATION SYSTEMS,614
2025/2026,GREEN TECHNOLOGY,614
2025/2026,HEALTH PROMOTION,614
2025/2026,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",614
2025/2026,HUMAN RESOURCE DEVELOPMENT,614
2025/2026,INDUSTRIAL INFORMATION TECHNOLOGY,614
2025/2026,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,614
2025/2026,INFORMATION COMMUNICATION TECHNOLOGY,614
2025/2026,INFORMATION SYSTEMS,614
2025/2026,INFORMATION TECHNOLOGY & MANAGEMENT,614
2025/2026,INFORMATION TECHNOLOGY (IT),614
2025/2026,ISLAMIC STUDIES,614
2025/2026,LANDSCAPE ARCHITECTURE,614
2025/2026,LAW,614
2025/2026,MANAGEMENT,614
2025/2026,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (BIO SCIENCE STREAM),614
2025/2026,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (OTHER STREAM),614
2025/2026,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),614
2025/2026,MANAGEMENT AND PUBLIC POLICY,614
2025/2026,MANAGEMENT STUDIES (TV) - A [Commerce Stream],614
2025/2026,MANAGEMENT STUDIES (TV) - B [Any subject combination],614
2025/2026,MARINE AND FRESHWATER SCIENCES,614
2025/2026,MEDICAL IMAGING TECHNOLOGY,614
2025/2026,MEDICAL LABORATORY SCIENCES,614
2025/2026,MEDICINE,614
2025/2026,MINERAL RESOURCES AND TECHNOLOGY,614
2025/2026,MUSIC,614
2025/2026,NURSING,614
2025/2026,OCCUPATIONAL THERAPY,614
2025/2026,OPTOMETRY,614
2025/2026,PEACE & CONFLICT RESOLUTION,614
2025/2026,PHARMACY,614
2025/2026,PHYSICAL EDUCATION,614
2025/2026,PHYSICAL SCIENCE,614
2025/2026,PHYSICAL SCIENCE -ICT,614
2025/2026,PHYSIOTHERAPY,614
2025/2026,PLANTATION MANAGEMENT AND TECHNOLOGY,614
2025/2026,POLYMER SCIENCE AND INDUSTRIAL MANAGEMENT,614
2025/2026,PRIMARY EDUCATION,614
2025/2026,PROJECT MANAGEMENT,614
2025/2026,QUANTITY SURVEYING,614
2025/2026,RADIOGRAPHY,614
2025/2026,REAL ESTATE MANAGEMENT & VALUATION,614
2025/2026,SCIENCE AND TECHNOLOGY,614
2025/2026,SIDDHA MEDICINE & SURGERY,614
2025/2026,SOCIAL WORK,614
2025/2026,SOFTWARE ENGINEERING,614
2025/2026,SPEECH AND HEARING SCIENCES,614
2025/2026,SPORTS SCIENCE,614
2025/2026,SPORTS SCIENCE & MANAGEMENT,614
2025/2026,STATISTICS & OPERATIONS RESEARCH,614
2025/2026,SURVEYING SCIENCE,614
2025/2026,Sri Lanka) UNANI MEDICINE & SURGERY,614
2025/2026,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL),614
2025/2026,TOURISM & HOSPITALITY MANAGEMENT,614
2025/2026,TRANSLATION STUDIES,614
2025/2026,URBAN BIORESOURCES,614
2025/2026,URBAN INFORMATICS AND PLANNING,614
2025/2026,VETERINARY SCIENCE,614
2025/2026,VISUAL & TECHNOLOGICAL ARTS,614
2025/2026,VISUAL ARTS,614
